avgHourlyAirTemp,IMF1 avgHourlyAirTemp,IMF2 avgHourlyAirTemp,IMF3 avgHourlyAirTemp,IMF4 avgHourlyAirTemp,IMF5 avgHourlyAirTemp,IMF Res avgHourlyAirTemp,avgHourlyHumidity,IMF1 avgHourlyHumidity,IMF2 avgHourlyHumidity,IMF3 avgHourlyHumidity,IMF4 avgHourlyHumidity,IMF5 avgHourlyHumidity,IMF Res avgHourlyHumidity,avgHourlyRainfallRate,IMF1 avgHourlyRainfallRate,IMF2 avgHourlyRainfallRate,IMF3 avgHourlyRainfallRate,IMF4 avgHourlyRainfallRate,IMF5 avgHourlyRainfallRate,IMF Res avgHourlyRainfallRate,avgHourlyBarometricPressure,IMF1 avgHourlyBarometricPressure,IMF2 avgHourlyBarometricPressure,IMF3 avgHourlyBarometricPressure,IMF4 avgHourlyBarometricPressure,IMF5 avgHourlyBarometricPressure,IMF Res avgHourlyBarometricPressure
-6.22,-272.8241869,-7.381817053,0.676530261,2.097322978,0.895392557,270.3167581,71.56,272.1833177,-472.3546664,1.169893576,1.653818032,-1.44835611,270.3559932,0,-272.3894228,3.7863497,-0.863987544,0.398669466,-2.067426577,271.1358178,1015.33,273.1477363,472.0953515,-0.630147354,-0.21266663,-0.69467983,271.624406
-6.79,-273.8998993,-4.772750308,0.199509302,-0.347825427,0.995734876,271.0352309,72.06,274.178692,-471.7417613,-0.55143372,-0.593417259,1.047656597,269.7202637,0,-273.8550924,6.544102354,-0.006758391,-0.891747311,-0.003301523,268.2127973,1014.24,273.1309704,471.8571029,1.900818356,0.435374107,-0.72200789,267.6377421
-5.73,-272.336846,-4.984044496,2.404920292,1.237851436,-0.509812974,268.4579318,68.69,271.7145499,-472.7748495,2.049253228,-1.708322166,0.090344423,269.319024,0,-271.3266073,4.149986865,1.536075079,-2.662351509,0.379304393,267.9235924,1013.97,271.1056638,474.4206715,0.14819518,0.202013295,0.971006189,267.12245
-4.64,-270.9586617,-4.894923547,-2.168298564,4.04281604,1.151438732,268.1876291,66.31,270.8378375,-476.2669371,-5.019066631,4.803931016,0.939121239,271.0151139,0,-270.7536014,1.273201882,-6.735588201,3.150213707,0.228982041,272.8367919,1014.28,270.753894,477.4884189,-4.141756707,-2.419237725,-0.715820607,273.3145021
-4.29,-270.8934281,-0.067336118,2.060801841,-6.203799936,-1.983997439,272.7977597,67.81,271.1994602,-477.2636231,9.867502554,-4.595475262,-2.686791228,271.2889268,0,-271.6480369,-5.04504185,8.62743346,0.054599506,-1.599049363,269.6100951,1014.42,272.1753213,475.0888154,-8.307617606,6.344456086,0.542507915,268.576517
-4.18,-272.7228744,7.2250665,-12.15193457,2.831213485,2.170239267,268.4682898,75.13,273.2739097,-470.995362,4.776825078,-5.512043585,4.296346759,269.2903241,0,-273.8400893,-8.830569891,12.33617345,-4.143666338,3.4679459,271.0102062,1012.7,274.4120466,465.6269568,-1.150177463,2.243251917,-1.447816416,273.0157386
-4.32,-274.9279027,9.371340469,-11.208617,3.50973139,-5.134925303,274.0703731,83.26,275.2967086,-460.161555,-0.934050088,0.216390678,-5.298504985,274.1410108,0,-275.4640991,-4.660517514,10.25328416,-2.170474983,-1.421030087,273.4628375,1011.48,275.4736553,456.0544022,6.003127963,-1.269472354,2.650688821,272.5675981
-2.92,-275.4724701,0.638191872,-4.65367984,-0.063354555,5.056365447,271.5749472,86.88,275.6282159,-454.6076862,-10.3752512,0.363729378,4.849678403,271.0213137,0,-275.9759841,8.432749391,-6.061172901,0.662902437,1.823308973,271.1181962,1010.18,276.2890734,456.4787409,6.533439924,0.852899328,-1.605433157,271.6312795
-2.81,-276.1070292,-7.697614208,12.11131225,0.175266642,-3.618182588,272.3262472,81.27,274.9811125,-461.3497911,-3.370050346,0.099037887,-2.374851375,273.2845425,0,-272.8223551,14.59386901,-13.98032338,-1.249582323,1.228212846,272.2301789,1009.12,270.0954811,467.9685184,0.826804942,-1.944016972,2.070955504,270.1022571
-1.87,-267.6531632,-16.8427624,15.21496279,-1.124685744,0.812412426,267.7232361,62.3,266.2627528,-474.5866148,3.85784073,0.341486115,-1.050150393,267.4746855,0,-266.1442326,9.455883215,-14.66344714,4.232507263,-0.857941937,267.9772312,1009.69,266.862615,479.5893374,-8.603999424,3.37102816,0.056474822,268.414544
