avgHourlyAirTemp,avgHourlyHumidity,avgHourlyRainfallRate,avgHourlyBarometricPressure
[18.79:-266.7914735149069;8.004198754073514;1.8455861780085496;-0.41666815880004615;-0.10247233014326873;276.2508290717682],78.63:266.78319508712156;-466.82374854984835;1.9664540448973606;0.28147167396128586;0.6263359878977903;275.79629175597034],0.0:-266.7771603009237;-10.66308601433201;-0.07448918242471336;0.6025526022428422;1.2877364416713561;275.6244464537662],1008.05:266.7606688202496;466.60704206192645;-2.5584588842484415;0.10321149798424784;1.3957515587791813;275.741784945309]
[16.9:-266.8241438184401;9.660615176625242;-2.2605224513369535;-0.21617354276748107;-0.0595821803515183;276.5998068162708],79.49:267.128095679992;-465.5066192687343;3.1104397974758515;-0.7810760814985328;-1.3525506730211927;276.8917105457862],0.0:-267.77670131509217;-11.976483001488049;4.033643955510668;0.6713333827319922;-1.6743939036452589;276.7226008819828],1007.33:268.69473125783594;463.8148815042653;-3.1784512433460557;1.2306685737626921;0.5128156784953831;276.25535422898673]
[14.24:-269.6242479333928;12.345706137425935;-5.4137724117682335;-1.30740288654714;1.7528479777732806;276.4868691165089],85.31:270.2667304501233;-461.9274400121018;2.0599836493631534;-1.9918150163394408;0.04830346322860446;276.85423746572616],0.0:-270.47600837983595;-11.225096507975337;6.5605734750159375;-0.6080360861116791;-1.2864875078009983;277.03505500670803],1007.58:270.3626785512574;460.1607904431935;0.048392821023167;1.743647961649481;-1.6730953654169196;276.93758558829353]
[12.59:-270.2327396857886;10.605185812273135;-6.820819877405198;3.076929124078995;-0.6006514514631599;276.56209607830476],88.15:270.39982546699525;-458.6627377750013;-2.4717979766448663;1.6941051533353655;0.8786480898675527;276.311957041448],0.0:-270.9972713825804;-10.53783468088443;5.982935665153138;-2.3764141591621173;1.599252058617245;276.3293324988565],1008.11:271.9118708756786;457.4499099322797;4.43128611026686;-3.8077443384100724;1.4452532326608853;276.6794241875241]
[11.15:-272.86948093739625;9.368281804068374;-3.1313024700536367;0.06178047822697863;0.4830998033155173;277.237621321839],94.02:273.59761815219247;-456.5079961330844;-3.8654273738316087;3.7757937376951265;-0.8360469512017249;277.85605856823014],0.0:-273.9547839409641;-6.510133909498961;0.4037054859033866;3.220274163296348;-1.6116439337055208;278.45258213496885],1008.96:273.96436042185053;455.8528432968161;2.0648021615729775;-0.6407139240860482;-1.097101702351023;278.81580974619754]
[10.81:-273.76433540979826;7.760126300225437;0.2539192535298861;-2.967806667470218;0.6598982292283655;278.8681982942848],96.06:273.52375051983415;-455.5031341366438;-0.8338251685318712;-1.5587476344315547;1.676233625504807;278.7557227942682],0.0:-273.3727992343023;-6.787503864780092;-0.42952806624450623;1.364851577918008;0.4830038705493197;278.7419757168596],1008.67:273.3689499045698;455.40881523791586;-0.026846433512689727;1.8281257801099202;-0.9022546508003297;278.99321016171734]
[11.07:-273.49841973014713;5.820608537531712;0.1379609371373573;0.7321682414944404;-1.6893831855397234;279.56706519952337],97.13:273.7014419700687;-455.42854770075525;0.26613344681038054;-0.4737347499986605;-0.9584124402355495;280.0231194741104],0.0:-273.90915608166483;-5.777534774938374;0.20563999332935856;-0.8388802668436387;0.3182792271854791;280.001651902932],1009.48:274.078066470893;455.40746977532166;0.036803252760251925;-0.9369266873137082;1.410766168643136;279.4838210196957]
[10.7:-274.2028905325491;5.469376543512254;-0.5439026197705428;-0.51553373862816;1.5517283233660009;278.94122202406953],97.48:274.2977337488303;-455.307617957742;-0.8824997510265855;-0.05757356407260017;0.7576984284135303;278.6722590955974],0.0:-274.3652582635649;-4.233299090061877;0.04778121335570196;0.15668549092212042;-0.45639856106694665;278.8504892104159],1009.88:274.3914522583449;455.27575364439485;1.809097541221073;0.18966789842518395;-1.2641186780178189;279.47814733563183]
[10.33:-274.3757293899722;3.8818870144338007;1.951252653810978;-0.07887134214045272;-0.9770044934786953;279.9284655573466],97.46:274.3561558656311;-455.5644639984861;-1.59296413247144;0.2965024562301764;0.12709247337517382;279.837677335721],0.0:-274.38208437686455;-2.6716171167589664;-2.7396295665960855;-0.2800369492169082;0.9086394809625732;279.164728528474],1009.89:274.44271418877963;456.33725051953104;0.683523196106482;-0.8769526918255279;0.4913545458488286;278.81211024155954]
[10.98:-274.4233451235209;4.108714277459541;3.083369980194914;-0.8978972568355202;0.3880267281456839;278.7211313945563],96.33:274.15811238833885;-457.4954345944502;0.6064595133210764;0.13328463039265803;0.041511915456635934;278.886066146941],0.0:-273.5678853245172;-3.93967449321093;-2.876881335768682;1.4193357080529587;-0.1342497675684307;279.09935521301225],1010.06:272.779888623969;458.66956262035535;-1.5195480820920397;1.2428857364429455;-0.22030303893596337;279.1075141402607]
[11.25:-272.11017106598047;3.0458274372392964;1.996971244685066;-0.5909962779672966;-0.35904115646231316;279.2674098184857],92.15:271.88624833845023;-459.40542617403537;2.1172938494322597;-1.483396057184031;-0.39507809995914217;279.43035814329613],0.0:-272.22722226841887;-6.0618861474852395;0.6389769424052986;-1.5010944591470037;-0.4065647107125796;279.55779064335843],1010.38:272.9531456487543;459.42860175503887;-0.6402732968862315;-0.6303601847922484;-0.3890197930562593;279.65790587094165]
[10.79:-273.69942084947536;5.895601069633017;-1.1956079251638552;0.47562066810041537;-0.356695136239507;279.67050217314534],94.84:274.14677971426346;-458.80836481528877;-0.8342824276114499;1.092573653259438;-0.27890109552901976;279.52219497090636],0.0:-274.19436646975385;-5.487105066948715;0.1911552373076158;0.6359764724757273;-0.1996250734295733;279.05396490034883],1010.54:273.9675142862524;457.9133218234816;0.48399015702745996;-0.5592612969338474;0.06327255060466112;278.6711624795676]
[11.19:-273.68775178742715;6.837609940491575;-0.15164693484327046;-0.6078658708593958;0.19115310483980247;278.60850154779837],95.24:273.5205093138268;-457.1986105570851;-0.23243445939752122;-5.963082059240454E-5;0.19243401198528176;278.95816132149116],0.0:-273.50317255635684;-6.442799764080291;0.17566368200163074;0.6165075648833387;-0.00677105820937178;279.1605721317615],1010.47:273.57599000948153;456.9706706519108;0.23549797387856483;0.595684694577171;-0.1361757312147169;279.2283324013667]
[10.95:-273.66166933190465;5.363868124631068;-0.013782577513694133;0.5055896634976428;-0.34275403005334565;279.098748151343],95.1:273.72089117755104;-457.2654344731265;-0.28037173633971973;0.16666830765270635;-0.10277770691635238;278.8610244311788],0.0:-273.7532948763268;-4.85249538181327;-0.28764367960475523;-0.09506224636819263;0.11750099112286302;278.87099519299005],1010.87:273.7680758161097;457.87614507255546;0.07295816695904947;-0.44291745938680593;0.4802172403021095;279.1155211634605]
[11.27:-273.7640607910922;5.137683868779106;0.2820250477118813;-0.7835237396905861;0.8449971684155707;279.5528784458762],95.28:273.73421563347915;-458.47192794627665;0.16567768507511144;-1.1775883722943985;0.8882799148326671;280.1413430851841],0.0:-273.68152477060715;-5.817928560054412;-0.13572988996317709;-1.5299715148844726;0.361483733979744;280.8036710015295],1011.03:273.6271842346622;458.7281443368736;-0.24942377937340093;-1.5321345169581893;-0.5004937903645482;280.9567235151603]
[11.45:-273.60267407553874;6.3248500710393785;0.02465221295709974;-0.35744851737080263;-1.3951210659393039;280.4557413748523],95.46:273.6319931616147;-458.4326391487309;0.3707162082772403;1.6039521128433987;-1.244906530603993;279.5308841965996],0.0:-273.7204280033832;-7.438792281807963;0.03498765265615311;2.3676606751521754;0.21892479459231462;278.5376471627905],1011.03:273.8603915271754;457.5704106275125;-0.834936460311265;0.4168982750265682;1.8654528401211603;278.15178319047567]
[10.89:-274.04334970526565;7.087397707103889;-0.08636946938061085;-2.4718500571375213;1.9350297630397504;278.4691417616402],96.4:274.2567115455037;-456.3771239612773;1.9628092470452079;-3.272325324215389;0.7174751760723046;279.11245331687144],0.0:-274.46724808910085;-5.901749984700416;1.9121502416014584;-0.54200620795101;-0.7573794625053679;279.7562335026562],1011.02:274.6209860344587;455.3137947005682;0.25707222749615344;2.370419177540317;-1.7892031064301517;280.2469309663667]
[10.74:-274.67642718756747;5.486884097796917;-2.0567445091167316;3.678083136410736;-2.122790023779975;280.43099448625657],97.25:274.6398569083742;-454.9165874726947;-3.3492590130017392;2.2323002699080132;-1.6537748919624202;280.29746419937663],0.0:-274.5523313750283;-2.5676688030144987;-1.4740057095869215;-0.8220010036317733;-0.5485949668500683;279.9646018581116],1010.71:274.42489188058596;455.5486295775189;3.666765600202748;-3.388541413075526;0.9670255900345489;279.4912287647334]
[11.98:-274.1862693734004;3.388324496716848;4.7422905732148;-2.7345662078145967;1.8340542897696346;278.93616622151376],94.98:273.71640500633526;-457.1783987889861;-2.3078717635225274;1.0560411626702135;1.2317823635639122;278.46204201993925],0.0:-272.96554933374284;-2.172442719046188;-5.3424542129390575;2.567116500907651;-0.3950760604159127;278.3084058252364],1011.05:272.06417891766057;459.3403488366139;0.7908759105318444;1.4868268214234106;-1.105350487766489;278.47312000153676]
[13.02:-271.3080139537775;0.8118205196654742;5.164918592324476;0.6713397758305735;-1.1662367988469486;278.8461718648039],88.53:270.9931587879162;-461.3455070795819;0.3865852872393245;-0.048389198526924804;-0.8165229918557043;279.36067519480906],0.0:-271.2098413912028;-3.0385744137899167;-4.372793996527358;-0.7588791803240346;-0.07080500686946595;279.45089398871363],1012.07:271.7545492083309;462.6465906842543;-0.8257357135806174;-1.1417286599572805;0.632574022651188;279.00375045830157]
[13.15:-272.2342822990748;3.9442504581336664;3.474484388380936;-1.2252468262157723;0.5652021606055042;278.6255921181704],87.18:272.2916873800173;-463.14064579666143;0.47439081291582674;-1.028085779992393;0.0075752406002898565;278.5750781431204],0.0:-271.8035504745435;-2.642517463813874;-2.995281252060886;-0.7882574267843371;-0.1921177516906245;278.4217243688932],1011.74:270.94086834430215;463.21289130253376;0.27163937290963047;-0.5094249458021607;-0.3210667662221335;278.1450926922788]
[14.05:-270.0678791471985;3.616884284502646;3.204275046785698;-0.22277149063328372;-0.07857332756286511;277.5980646341063],82.33:269.53353053321484;-463.488001825873;-0.8369544615655118;0.059116517374268096;0.3033464825566352;276.7589627542928],0.0:-269.45608721910565;-2.8964148889650687;-3.942238486510526;0.23464575463578063;0.10331341609520484;275.95678142385026],1010.39:269.61905265293007;464.4489697929487;0.820068269209683;0.3670164090220065;-0.39539986649391523;275.5302927423835]
[15.53:-269.56148108650086;4.908662224384784;4.726105552559132;0.2926969569364537;-0.4108050551173556;275.5748214077378],78.28:268.84505466621863;-466.1673744331073;-0.2021893736499294;0.2563714185931989;-0.21932423836951595;275.7674619603149],0.0:-267.3571822503496;-3.7309868477277917;-5.0745821808223;0.19451979178355183;0.1586964229218515;275.8095350641943],1009.05:265.45130272791516;468.2997340495572;-0.8082304444534776;0.10316114001615329;0.3696305824873098;275.63440194447764]
[18.45:-263.79908915804947;2.4183710642034555;4.783794781616616;-0.4466169332920514;0.35383594677702557;275.1397042987444],68.85:263.0137641857066;-470.3123198663495;1.4958220281554222;-0.16905248684045576;-0.01895522575106942;274.84074136507905],0.0:-263.2780580769365;-7.877616896763669;-4.095468293211709;0.6192853125118261;-0.07494330278705418;274.70680125718707],1008.5:264.22981123170706;471.75123829929225;-2.3618258106744228;0.3893783041641984;-0.1453788215256105;274.6367767970364]
[19.1:-265.1862706861932;8.04141267100374;2.012040903532835;-0.15987512906862889;-0.13199191488271364;274.524684155608],69.87:265.55183888957623;-472.383928039735;3.238752780455457;-0.8205961783064517;-0.03100754279310535;274.31494009080285],0.0:-265.13884628750486;-9.058843364691171;0.9641921135309051;-0.8798132477631984;-0.010394707957926803;274.12370549438623],1007.8:264.21388780759503;472.1779418753979;-2.3570151966997517;-0.3769703178177723;-0.01770516746432311;274.1598609989889]
[19.67:-263.2801792546527;11.253267258040268;-2.909832967407988;0.3494881230814641;-0.06308460648655426;274.3203414474255],67.57:262.76911028645566;-471.2188124147579;0.8781932926028237;0.7498317734310853;-0.06287467936872518;274.4545517416371],0.0:-262.84142221267007;-15.3106984949425;3.1363653060902594;0.6658659173072439;-0.09379362122392573;274.44368310543894],1006.61:263.3903177982987;469.6800404594172;-1.0556818026112993;0.5356258632349834;-0.035172896029337805;274.0948705776897]
[18.05:-264.1854900475971;12.442847802274912;-3.671486601754072;-0.2131108585492008;0.14590814146566933;273.5313315641598],71.2:265.0189878918634;-467.8498102265321;1.012203516438503;-0.3400346256764817;0.3126326769701941;273.0460207669365],0.0:-265.76334433731176;-12.49873687398025;4.095070597317771;0.25511257088895356;0.6857232092932841;273.226174833792],1006.92:266.35967852062436;466.11523435654476;-0.7465955104273085;0.21457428470654233;0.6650440209557941;274.3120643275958]
[16.67:-266.80078308519694;12.874093630418344;-4.208307688835273;-0.5627305574507411;0.2832889260912931;275.08443877497325],76.89:267.12914068631767;-464.82464333182065;0.5670271401744746;-0.4524677213212005;-0.8989587828366717;275.36990200948634],0.0:-267.4130139113929;-10.898893563169054;4.124797471038417;0.2755178751949602;-1.2623937491847117;275.1739858775133],1006.12:267.6787605766784;464.08199922264697;-0.4883344313673248;1.025836876652037;-1.0504598526167717;274.8721976080067]
[15.82:-267.84860463548625;12.761671685278259;-4.125663596575144;1.3363376125714108;-0.7835587808340857;274.4798177150458],79.58:267.76886574158533;-463.64016060206563;0.41389621033589785;1.3833845443277595;-0.47830145779490507;274.1323155636115],0.0:-267.352138210793;-12.559241324054199;4.394778781916917;1.3717009232242323;0.21773571765083288;273.9271641120552],1005.94:266.7371156281898;463.0236848529978;-0.13944509256513982;1.1063211980332652;1.1824863791456757;274.02983703419864]
[15.39:-266.3081072523177;9.687469575860803;-4.851082458145987;0.1813836673135535;2.239333377623829;274.4410030896655],80.56:266.50078214922416;-461.83802975244214;-0.4842629933925795;-1.083897378275589;2.304077079609119;275.16133089527705],0.0:-267.50499136111796;-12.602301148263194;5.205971585207661;-2.4262558972091175;1.083088432487248;276.2444883888954],1005.33:269.09296878585076;460.0583109991199;1.5370902059314737;-1.0164930981329123;-1.2305002867867258;276.88862339401754]
[12.73:-270.7236347448809;11.544248062472661;-5.090060667220017;2.403696772653681;-2.5380790744668764;277.13382965144143],89.31:271.85726205493705;-458.08582024861755;-2.7685791841767338;3.2560564984606106;-1.9765098358551505;277.0275907152518],0.0:-272.25322368801574;-7.784015041323954;4.420280852143711;-0.9794278125791334;-0.0982632957519276;276.69464898552707],1006.53:272.0525625008795;456.52525234126693;3.7188691835573895;-3.4760459683776403;1.46061554248463;276.2487464001892]
[12.48:-271.6221585417125;9.558007328401374;-2.400536801551123;-1.0787624285615247;2.21982517901968;275.8036252644041],91.2:271.30180680479486;-455.8349733926634;-3.1238248438820255;1.398373146954352;1.7512922631530625;275.70732602164315],0.0:-271.2319750368253;-7.34272556614556;-0.6301985996003;3.0519577282230115;0.14308546375410036;276.0098560105941],1006.55:271.3486005993068;456.0795473690787;1.6496995322513612;1.7913387181413412;-0.9875981637591738;276.66841194498096]
[12.27:-271.50193459544624;5.6798835892535635;1.776943113002758;0.30249810923456566;-1.5387790643665897;277.5513888483219],91.96:271.58748537992244;-456.9226320390059;1.3427422765305845;-1.2103789849476938;-1.4471494992607243;278.60993286676126],0.0:-271.6022842336374;-5.598807702521782;0.6917330194294562;-1.9047853005481974;-0.5684405035393105;278.9825847208172],1007.05:271.61444891476526;457.82884317520836;-0.022552219861600054;-1.6182921108103367;0.47797827453290254;278.76957396616535]
[12.41:-271.691424915824;5.820100395716452;-0.5101351317999394;-0.4488942153591895;0.8620002273143141;278.37835363995237],92.48:271.8445653613986;-458.32742286263976;-0.351272635253838;0.9095396303347915;0.2941830375029921;278.11040746865723],0.0:-272.0263842523343;-6.805730020943258;0.3298415416075435;0.8149978710241585;-0.6058103343984367;278.2930851950443],1007.84:272.17794995274994;458.1929365884856;-0.340960280351301;0.03375549115391363;-0.5857568412200951;278.36207508918193]
[11.8:-272.28448065098576;7.165852405430542;-0.9589659419882446;-0.10844053318596214;-0.44061047571477685;278.4266451964442],93.65:272.3880932362996;-457.4832420279604;0.854092999226865;-0.22893061385823313;-0.34595328069736175;278.4659396869895],0.0:-272.5454634881153;-7.441071907701769;1.8862927286729707;-0.14046090303899153;-0.21839916079310043;278.4591027309762],1007.28:272.7714176364375;456.46173775216187;-0.2974511321493801;-0.13400572562719032;0.09302297061455839;278.38527849856257]
[10.74:-273.020723647565;7.520181077154177;-2.363660911666683;-0.12430600639402592;0.5048983311800009;278.2236111572915],95.51:273.22018319952224;-455.4673395394226;-0.7933791272705868;0.08667138164757862;0.3966199519569042;278.0672441335665],0.0:-273.3188645801331;-6.421460389414733;2.1168123114257438;0.18165188068109323;-0.5410928256808076;277.9829536031218],1007.18:273.3170077557037;454.78625525957386;1.491443017898714;0.2498923344216155;-0.6402070402963635;277.9756086726985]
[10.63:-273.2578057671989;6.3435755114225;-0.4402761857303217;0.12142587319199308;-0.0477875534549177;277.9108681217696],96.09:273.1933153959568;-454.5585208231328;-1.273801312889172;0.006198395517079902;0.6835521291432293;278.0392562154049],0.0:-273.1501665902484;-5.149529952641899;-0.6944683715647264;-0.2887485674344195;0.9279007954318881;278.35501268645754],1006.8:273.11801836173777;454.7413853360207;0.15067735537263488;-0.581249880721658;0.792481088494298;278.5786877390962]
[10.48:-273.0657538921322;4.797787658608769;0.4963677952910177;-0.7051503011835885;0.27825863696900055;278.6784901024471],95.51:272.9706856586016;-455.14497524164847;0.49585061827778243;-0.967821120744621;-0.3715002495047097;278.52776033501846],0.0:-272.84022261264795;-4.467288725234937;0.20391576453683138;0.22193441364386063;-1.2864912047303552;278.16815236443256],1006.81:272.71292930221443;455.53602384568853;0.1149886856072022;1.4434194315108804;-0.722221308019672;277.72486004299856]
[10.52:-272.636555214994;4.0429280182711125;-0.22324927353128934;1.096883566133828;0.402978527073115;277.8370143770472],94.19:272.6337536307195;-455.7706738381638;-0.6083074726303856;-1.759149441146302;1.4328866730194258;278.2614904482015],0.0:-272.6810137564731;-3.7243771666755094;0.18025101951451394;-2.113320423287621;-0.1518966257077764;278.4903569526295],1007.29:272.72411482478947;455.88905918068855;1.4914775382125458;0.5325207028231116;-1.412495462049559;278.06532321553584]
[10.5:-272.7213325307607;3.387696700838376;0.12916577670037155;2.6092416328311314;-0.3065985826377581;277.40182700302864],93.07:272.67205284942105;-456.1110403790925;-3.0700807469725166;1.518673254347833;1.0846163175117618;276.9757787047844],0.0:-272.59793045507786;-1.7207937096162027;-2.1278290531686315;-1.7316968095082161;1.2865071465600382;276.89174288081085],1007.29:272.4937496040161;456.7220563199615;4.4182496143612795;-3.1759591917715246;-0.1505479490468764;276.9824516024795]
[11.07:-272.3011277865932;2.512243467562513;5.252259719728393;0.07892207790700567;-1.3053030973457183;276.833005618741],90.34:271.9397132827557;-457.9048163495705;-3.012694514474958;3.5093043127795975;-0.9900271428977886;276.798520411408],0.0:-271.37660315574493;-1.13172291602217;-6.503660092893634;2.133155223505001;0.06899399459638333;276.80983694655936],1007.48:270.67681142826024;459.61194627373584;0.9423015112220847;-1.654462446405264;1.073243841226312;276.8301593919609]
[12.37:-269.988462420534;0.8277000421216201;6.932249852330273;-3.724163683946106;1.4999843904188277;276.8226918196094],84.78:269.46739885291515;-461.55652041530305;1.50242615235614;-2.4311231086471463;1.0833731677130911;276.7144453509659],0.0:-269.1950979248562;-2.7079899052704093;-6.325937704546595;1.5785129276207621;0.029426643795805396;276.6210859632567],1007.96:269.1471965143944;463.33039035799777;-3.4192753865779744;3.5896929615404507;-1.1953485174762764;276.5073440701217]
[12.87:-269.22503044141786;2.1512512527901038;4.942478464098959;0.36562857994753606;-1.7022779406196618;276.33795008520093],81.85:269.3162929293253;-464.5870204903177;4.694609030812988;-3.1514047012806574;-0.30451721651704755;275.8820404479771],0.0:-269.3454780237802;-3.7162608027417434;-1.245216232237167;-2.417422340233097;1.3609709355623125;275.3634064634299],1009.07:269.2979978766067;465.19178677345667;-2.6624654592879633;0.5627155225135734;1.7275847164408833;274.9523805702701]
[12.77:-269.21566963136934;4.657760562474863;-0.26637682300731835;2.2405812539698076;0.6350540093150098;274.7186506286169],80.06:269.16225644645743;-465.2654297683056;1.2007738061482283;1.2697840229324917;-1.5609978162845586;275.253613309052],0.0:-269.171025345452;-4.992785578932711;1.2159000337939734;-1.473788202172996;-1.3975544722251914;275.81925356498897],1009.38:269.2091980098729;465.1062911780079;0.1432101699302134;-1.3545004579907158;1.2301697526136;275.04563134756603]
[13.21:-269.1919883469337;5.973597551235514;-0.29234029196996064;0.8736122340199667;1.237455996704813;274.6096628569434],79.37:269.04112932963335;-465.03708946051137;-0.33335877353067145;0.8688997368546231;-0.47531379578046223;275.3057329633345],0.0:-268.7447435718762;-5.434451698150184;-0.2693884059305585;-0.6374714055196475;-0.730001259417476;275.8160563408941],1009.06:268.3731272555584;465.2535215034326;0.3755239463568829;-0.4419907552124174;-0.23592930924615982;275.73574735911063]
[14.2:-268.03690571641164;5.7053523745067025;0.4277913302950712;0.7245815434300735;0.21502549985969785;275.1641549683201],76.93:267.81409598178186;-465.74681187201827;-0.7752301912166631;0.7579927363103995;0.28897153067969417;274.59098181446296],0.0:-267.69573792215783;-5.766469468832838;-0.48956990026010283;-0.6980362841542009;0.2284664693275834;274.4213471060774],1009.12:267.58998393009335;466.33783019005466;1.3837652024959004;-0.9830964286094144;0.14432135721189943;274.64719574875363]
[15.36:-267.3848398540897;6.073020305795723;0.9899197037306443;0.5430094035926255;0.04562833576788623;275.0932621052028],75.01:267.0289922407003;-466.8092398503293;-2.03974392381902;1.1927447297788192;0.02766743864767779;275.6095793650215],0.0:-266.57941506651287;-6.675667346490826;-1.8756101633154676;-0.31366755047229467;0.06924073989226946;275.3751193868992],1008.58:266.18519503305265;467.0701778669211;2.227108137187769;-1.3171488124585236;0.06388503379510158;274.350782741502]
[16.16:-266.00977900746534;5.447173558892786;2.8613724009957586;0.11446551527824811;-0.08901236355016633;273.83577989584876],72.69:266.1277036123512;-467.2579512341738;-1.6964368778595398;1.4254376706918381;-0.21438929736548787;274.30563612635575],0.0:-266.4585904922218;-5.311377957736227;-3.2986982361508224;0.971403789290811;-0.554910954435342;274.65217385125334],1009.52:266.7939596074583;467.69829970368323;1.004880801993215;0.18583367547538449;-0.5826388027402061;274.41966501413003]
[16.49:-266.91239024151764;5.889606817565522;3.324190920155262;-0.1692834229711544;-0.4567568564499644;274.8146327832179],71.56:266.70357903861077;-468.7176963276926;-0.4499847670642765;-0.6459183293338808;-0.3219685579961615;274.99198894347614],0.0:-266.2067221819418;-3.607156510204419;-2.9086665265849216;-1.640984043942539;-0.1647153125075403;274.5282445751812],1009.03:265.5403275119419;470.3981171335518;0.43272935695852377;-1.328512967607286;0.26732310667885684;273.7200158584762]
[18.14:-264.7973227596831;5.547625609987534;2.4801271995099805;0.6798423820868812;0.9404658833257216;273.28926168477295],67.15:264.00905858330066;-472.4248221402068;-1.0315290616563304;1.7931687285723161;1.5139000220500165;273.2902238679402],0.0:-263.2116971331812;-8.541853792554548;-2.6969805706156307;-0.4184135838374957;1.0771850100652287;273.7917600701236],1008.4:262.5385947565446;474.1470904286642;-4.625595528613413E-4;-1.9401733119102418;-0.623134894327648;274.2780855805819]
[18.45:-262.21933543567;6.526913609117116;3.5167073132904836;-1.476161701026759;-1.996282018972385;274.09815823326153],63.65:262.4468182979024;-474.8527306586293;3.968405498235237;0.6476964190526814;-1.9289140531915132;273.3687244966305],0.0:-263.2128474823159;-11.875190878715188;0.6277401992605023;2.202685513179534;-0.34310899663661254;272.6007216452276],1009.04:264.26701473088474;474.1196453342935;-4.808314116930774;1.6528115365758904;1.4653038157897809;272.34353869938684]
[16.04:-265.2536408270012;12.247969691530898;-5.918974090372133;0.08953826833127398;2.2255096022457534;272.6495973552654],68.74:265.92215721220015;-472.0460355031354;3.0580116116787304;-2.739811793385339;1.3165867692945923;273.22909170334725],0.0:-266.2482536171441;-12.605823988512299;7.317467757551867;-1.8686771888231006;-0.4103579125876313;273.8156449495152],1008.72:266.39320557780627;469.22354686103165;-0.9577709116574908;1.6642637468658272;-1.9259773215021836;274.32273204745593]
[14.78:-266.56243114069065;13.275076205058525;-7.954978627810972;3.496285026753524;-2.095453865947743;274.6215024026373],73.95:266.87940682258;-466.4679157641259;-2.0739227649228136;1.8098475369169749;-0.8797425870976908;274.68232675664945],0.0:-267.34762630070554;-12.320873952594809;7.526083957511289;-2.9143016087275084;0.5509697179409886;274.5057481865756],1008.79:267.89477919073147;464.46135714227387;4.733806770663033;-4.177244299319877;1.691308506274622;274.18599268937686]
[13.5:-268.44266368855494;10.58065579199669;-5.515240818671055;1.1934926739174823;1.7768130257345676;273.9069430155772],78.47:268.945700849323;-463.5003014178091;-5.769223421286131;4.2884549117402235;0.5882548030626908;273.9171142749693],0.0:-269.3786380843666;-7.3912772189609655;-0.32528009890672993;3.670981361513058;-0.8946563921433177;274.31887043286457],1009.7:269.69905467996983;463.4616735469556;4.104436572689293;-1.05189828997579;-1.4348823917676472;274.92161588212883]
[12.91:-269.8307769927178;8.162485366946811;3.092097730262487;-3.7869566841937843;0.05265054742787567;275.22050003227446],80.17:269.6986916062592;-463.9617433931485;1.5811748061535482;-2.7881541586363676;0.6087862208486983;275.0312449185234],0.0:-269.30464738741586;-6.282982554542826;0.6576632744862608;-0.7286399123398928;1.0976451735591821;274.5609614062531],1009.71:268.7903633900007;464.5794703663314;-0.307609724163628;1.3132103485584081;1.043761525467277;274.29080409380583]
[12.87:-268.41773807553466;5.033280516345229;-1.2592124450956792;2.8400718823033637;0.2592619197173007;274.4143362022644],79.12:268.43970142618707;-465.0137805577834;-1.4351080779155765;2.2778681086325356;-0.03782913914579483;274.8891482400251],0.0:-268.9247788314967;-6.157014069123136;-1.3264771534153632;1.048068414667563;-0.34188599923824226;275.70208763860586],1009.55:269.66389176619236;465.12748433131344;-1.1881646571604567;-0.17140161327952164;-0.5616026306016951;276.6797928035358]
[12.12:-270.2545840454476;7.334908219637754;-1.0639077641698371;-0.9155665283451137;-0.6227269462217967;277.6418770645465],81.23:270.335309299459;-464.92253256141714;-0.8973658122108332;-1.4238325949241213;-0.13645518066889556;278.274876849762],0.0:-269.82505466552084;-6.518038236960422;-0.6157603310170855;-1.861296157001866;0.39319015363743876;278.4269592368628],1009.57:269.0036455457922;464.5152092466084;-0.40098680318729985;-1.7820953781145632;0.14460944342559032;278.08961794547577]
[12.65:-268.36307743815985;5.594712151207858;-0.22641819548860811;-1.6230400856347698;-0.19452796424963265;277.462351532325],79.45:268.3113498304489;-464.1253696779728;-0.10197483461770536;-1.1155221898647818;-0.2229450705292098;276.7044619425356],0.0:-268.91949688884245;-6.795453871552837;0.01307944763256473;-0.12377884352085522;-0.1616066787355564;275.98725683501914],1010.29:269.8847683616623;464.028004544985;-0.05905138262236548;1.0665344875108207;-0.14689933702281655;275.5166433254871]
[12.15:-270.7337685056753;6.225614372062012;-0.23700952652958165;1.7111886611886808;-0.13805355200973424;275.3220285509639],82.79:271.1148683427143;-464.42029585361996;-0.33898988935011404;0.9109432071678655;0.271333442206813;275.2521407508811],0.0:-270.9712199760853;-4.021274985879927;0.6093575555336658;-1.1289071781509687;0.2789230272245472;275.233121557358],1010.2:270.49206430340075;465.24545476385515;1.525964904384868;-2.2751687565744825;-0.11395140596653885;275.3256361909003]
[12.92:-269.9179045549927;7.215189701295174;2.49228511752104;-1.0918174607264992;-0.5387288570365695;274.76097605393954],81.28:269.37691052532546;-466.10499311529645;2.5520668539174176;0.8354076372704455;0.20000202388924532;274.42060607489384],0.0:-268.8785829156042;-9.475871443825326;-1.2209776653785338;3.3857018710228424;1.1157064467189055;275.0740237070664],1009.79:268.4368889279518;466.3795137542358;-4.5551010830868375;1.5231296816860536;1.1824300066792988;276.8231387125338]
