avgHourlyAirTemp,avgHourlyHumidity,avgHourlyRainfallRate,avgHourlyBarometricPressure
[-1.34:-263.0337560077189;-9.462079438083066;12.41069836025449;-4.2577783520952455;1.7208161249656904;261.28209931267713],37.59:261.2834788569877;-484.6860334598208;-3.5321862338350902;3.1777189380293374;0.6382980781278265;260.70872382051107],0.0:-260.400405956329;8.431235126997592;-13.594999890692396;5.418345737078643;-0.7900904094091575;260.93591539235433],1010.69:260.31239003677535;489.835273067883;-1.7857136042249815;1.937394312910814;-1.162349067983986;261.55300525463986]
[-2.88:-260.66005988999933;-12.302309847650918;12.702182287179784;-4.0302795681894334;-0.7033938192137107;262.11386083787363],30.79:261.07771763505986;-494.0604072342875;6.263341070725606;-4.773972078531764;0.17866127137251803;262.10465933566127],0.0:-261.36069383727096;7.361391114039208;-8.81798275441092;0.5628599727188126;0.7642810147168028;261.49014449020706],1012.98:261.4772665826073;496.28862913825225;-9.750234208700153;4.0031313132913535;0.5048227412365773;260.4563844333127]
[-4.02:-261.5006144591425;-4.292872473589824;-2.3110969505038748;4.945546583878333;-0.46413563145307046;259.60317293081096],29.85:261.53996342129165;-496.2480484872508;4.634773161419165;1.5369960721640714;-0.7229790478852696;259.1092948802612],0.0:-261.69782969710775;-0.7252537080212278;6.525591062479458;-3.124153714902101;-0.22614684725646106;259.2477929048081],1014.38:262.04655616087723;494.4116236049921;2.6950641649133544;-5.433784958936883;0.6985290805712916;259.9620119475829]
[-4.72:-262.613450769456;1.0532546886319665;-3.567058783714203;-1.5787885573788327;1.0471220681861577;260.9389213537309],34.06:263.3703434035357;-491.6637227785333;-4.1237118052995125;5.24441691944282;-0.6984960848914095;261.9311703457458],0.0:-264.233065846392;-2.2264128413727633;2.2162395858349897;4.048525172156797;-1.5486558878593168;261.74336981763224],1016.41:265.0826256181106;488.9267221917522;3.0530579027243894;-2.6518855253061946;0.7264079118222792;261.2730719008966]
[-6.22:-265.8085690037823;1.7681456580403108;-2.153673321323018;-3.9474636369353555;2.1866040747495523;261.73495622925077],39.96:266.35172776326976;-486.9075247432955;-2.613916148376887;-0.8822547305367513;2.0176530848329675;261.9943147741064],0.0:-266.7174073683116;1.7897569659175474;1.4533511216367005;1.6865598910179285;-0.5892670787690144;262.37700646850845],1017.39:266.9532833401254;485.98478413571013;2.2797969741988955;2.211798779658362;-2.8873736303555857;262.8477104006628]
[-7.89:-267.1142203717966;-2.686544076998956;0.5100884674175237;0.7595702852619654;-2.8152686438459384;263.456374339962],42.46:267.24090751754295;-486.1824585527923;-1.251531780390686;-0.08434136568571982;-0.8494292973625339;263.5868534786882],0.0:-267.3610412767083;4.8299318330158485;-1.640860711877175;-0.5837631747082653;1.5215211961346202;263.23421213414326],1018.56:267.5005305348772;487.1943970591998;-0.7230039354897855;-0.9684984754734257;3.1630597458297682;262.39351507105636]
[-9.21:-267.68540890990596;-5.904788490673525;0.5454219204280399;-0.9281084746752302;2.2979364221750753;262.4649475326516],43.06:267.9286957467468;-488.47433794907505;0.9918676521021139;-0.701247285764232;0.07086085772315887;263.2441609782672],0.0:-268.2177836816968;5.526689880125872;0.7195864076630301;-0.4801498881031492;-2.435601667567594;264.8872589495786],1020.71:268.5212434930402;489.4109048700533;0.2942742781396085;-0.333339016395229;-2.753123738421536;265.5700401135838]
[-10.26:-268.811817823923;-5.151114954130861;-0.04697989462103294;0.31944641279088637;-2.4601079430358745;265.8905742029199],44.53:269.0836322795201;-489.5549764283236;-0.2854576542271996;1.2107960864603804;-2.024055976866455;266.1000616934367],0.0:-269.3527904475072;3.8571283852735405;-0.40574191023476963;1.3924967490017806;-1.697244298895296;266.2061515223619],1022.72:269.6522414335272;488.8083456618469;-0.5121790937803052;-0.08933629221361583;-1.3555643363032222;266.21649262692307]
[-10.66:-270.0278565457892;-4.03315788461083;-0.20001056391481156;-1.560670423551564;-0.9770385264813752;266.13873394434773],48.03:270.52136432122575;-487.47656796539366;0.9119841376942379;-1.3975893503112096;-0.5097155550786869;265.98052441186354],0.0:-271.13001350006937;4.375470316624103;0.8456291773929463;0.2793570742565967;-0.11995609090947934;265.7495130227052],1024.19:271.7689833819131;486.14756397458353;-0.7593139250756392;1.3814355244647087;0.2250874697559374;265.42624357435835]
[-11.71:-272.2835590172426;-4.307301699741345;-2.1479026752484263;1.510719505272277;0.5182348958816687;264.99980899107845],51.44:272.52795824327893;-485.44207030162414;-1.7970343486249465;0.8435902026687798;0.7689209207590278;264.53863528354236],0.0:-272.4692835819495;7.193353360988141;0.414888116159257;-0.29659731168821557;1.0691747468411943;264.08846466964917],1025.39:272.2410751289397;485.7413444449521;3.188608114734017;-0.8968757040503541;1.2298445960766846;263.88600341934796]
[-13.03:-272.092072214017;-8.89897822628194;3.498704353200345;-0.9065483616375145;1.2438392811042882;264.12505516763184],50.28:272.24274835484016;-487.00694926142353;-0.97032666597479;-0.046738786551127065;1.1551748846376586;264.9060914744716],0.0:-272.7331387839637;9.816858831863527;-3.734512593835243;0.3047579870000065;1.0037738936904792;265.34226066524485],1027.54:273.36711312660657;488.7732059918116;-1.021750699032757;0.3306309683049473;0.6924381029166907;265.3983625093929]
[-13.99:-273.8057807357985;-8.53362268034283;3.261603970575282;-0.2657448136811036;0.16705611308301163;265.1864881461642],50.73:273.76823972504667;-490.33059037816565;1.7207762311849826;0.33957981806837784;-0.1147467309214753;265.3467413347871],0.0:-273.22484506853993;8.256890305666332;-1.4113663630762063;0.7308486645668536;-0.4408270269735273;266.08929948835646],1028.37:272.459994866206;491.0399685708274;-2.5074724550396166;0.7290762815654468;-0.39545292764645373;267.0438856640871]
[-14.67:-271.94478388894873;-8.78682391873042;-1.6655630212024637;0.44704605760385463;-0.3511595934216092;267.6312843646993],48.51:272.07310614103994;-490.64375077894374;-0.6550865734350634;0.15295382561841225;-0.27140854963979644;267.85418593536025],0.0:-272.9195483225583;5.376507033066787;0.1894531151460861;-0.23652621363669202;-0.03544170958376658;267.6255560975659],1030.66:274.18713594278927;489.41269322391975;0.644474589340498;-0.9176263154243183;0.16755946828271923;267.1657630910922]
[-14.9:-275.3894275985437;-5.86079190158685;1.140848105255205;-1.6589678310451803;0.2639951235973004;266.6043441023233],54.55:276.1377186056081;-488.0279769378103;1.7632312595284803;-1.586571235012063;0.15871150842542722;266.1048867992604],0.0:-276.32991204791654;9.11719336725966;1.9369242435343001;-0.12550630527196371;-0.39347620958124996;265.7947769519758],1031.65:276.12874315741686;487.2399474013882;1.4223985208386798;1.523281874539766;-0.4050473735505538;265.7406764193671]
[-15.1:-275.786405154062;-7.564611979197423;0.04410773403288781;2.286462198434461;-0.1428876112507182;266.0633348120428],54.03:275.4726660707728;-487.48790971347483;-2.4624648737026194;1.2258010388765934;0.5685275318315935;266.71337994569654],0.0:-275.22495246493617;9.834231387200958;-1.686439352666871;-1.1408724736292593;0.6832084927343826;267.53482441129694],1032.89:275.0154983231029;488.70384299816624;3.337490799540614;-2.506885840594402;0.17093241871715714;268.16912130106755]
